word,occurrences,frequency
i,28,0.045381
cant,2,0.003241
stop,2,0.003241
laughing,3,0.004862
bruuuh,1,0.001621
hahahaahaaa,1,0.001621
cello,1,0.001621
in,7,0.011345
those,1,0.001621
pics,1,0.001621
ah,2,0.003241
ok,1,0.001621
cee,1,0.001621
tee,1,0.001621
thats,2,0.003241
hard,1,0.001621
because,1,0.001621
what,4,0.006483
a,11,0.017828
phrase,1,0.001621
is,9,0.014587
ambiguous,1,0.001621
tell,2,0.003241
if,3,0.004862
boink,2,0.003241
or,2,0.003241
just,10,0.016207
saying,1,0.001621
fuck,2,0.003241
worse,2,0.003241
will,2,0.003241
that,11,0.017828
script,2,0.003241
be,2,0.003241
able,1,0.001621
to,18,0.029173
count,2,0.003241
phrases,1,0.001621
too,2,0.003241
watch,1,0.001621
as,2,0.003241
some,2,0.003241
shit,2,0.003241
im,8,0.012966
going,2,0.003241
make,1,0.001621
read,1,0.001621
through,2,0.003241
the,12,0.019449
chat,2,0.003241
and,4,0.006483
most,2,0.003241
used,1,0.001621
words,2,0.003241
carlos,1,0.001621
feeding,1,0.001621
horny,3,0.004862
nobodyabsolutely,1,0.001621
nobodyyyle,2,0.003241
music,1,0.001621
play,3,0.004862
when,4,0.006483
yoof,2,0.003241
indeed,1,0.001621
for,5,0.008104
sure,1,0.001621
reading,1,0.001621
it,10,0.016207
rn,1,0.001621
yah,1,0.001621
yyle,1,0.001621
again,2,0.003241
you,3,0.004862
can,1,0.001621
which,1,0.001621
one,2,0.003241
hyffdayjkiigf,1,0.001621
hold,1,0.001621
on,6,0.009724
luren,1,0.001621
whats,1,0.001621
his,1,0.001621
number,1,0.001621
cyber,1,0.001621
bully,1,0.001621
am,2,0.003241
lazo,1,0.001621
yet,1,0.001621
truthman,1,0.001621
ill,2,0.003241
break,2,0.003241
lot,2,0.003241
of,5,0.008104
promises,1,0.001621
die,1,0.001621
though,1,0.001621
promised,1,0.001621
people,2,0.003241
meet,1,0.001621
them,1,0.001621
someday,1,0.001621
abby,1,0.001621
like,4,0.006483
only,1,0.001621
okay,1,0.001621
with,3,0.004862
calling,1,0.001621
me,9,0.014587
accident,1,0.001621
was,7,0.011345
middle,1,0.001621
school,1,0.001621
but,9,0.014587
not,4,0.006483
recent,1,0.001621
years,1,0.001621
truman,4,0.006483
have,5,0.008104
ever,2,0.003241
broken,1,0.001621
promise,2,0.003241
genuinely,1,0.001621
curious,1,0.001621
started,1,0.001621
saw,1,0.001621
liz,1,0.001621
oh,2,0.003241
well,1,0.001621
shoot,1,0.001621
wish,1,0.001621
didnt,1,0.001621
myself,1,0.001621
games,2,0.003241
already,1,0.001621
honestly,1,0.001621
dont,3,0.004862
care,1,0.001621
at,3,0.004862
this,2,0.003241
point,1,0.001621
sorry,2,0.003241
rule,1,0.001621
made,1,0.001621
cackle,1,0.001621
wholesome,1,0.001621
whole,1,0.001621
world,1,0.001621
lauralyn,1,0.001621
interrupt,1,0.001621
say,3,0.004862
very,2,0.003241
few,2,0.003241
things,1,0.001621
brought,1,0.001621
so,7,0.011345
much,2,0.003241
joy,1,0.001621
seeing,1,0.001621
kelso,1,0.001621
siena,4,0.006483
hang,1,0.001621
out,1,0.001621
its,5,0.008104
also,2,0.003241
barely,1,0.001621
city,1,0.001621
girls,1,0.001621
summer,2,0.003241
were,1,0.001621
having,1,0.001621
times,3,0.004862
feelings,2,0.003241
wont,1,0.001621
lauren,3,0.004862
tempted,1,0.001621
ship,1,0.001621
evelyn,3,0.004862
yes,1,0.001621
expose,1,0.001621
assuming,1,0.001621
right,1,0.001621
super,1,0.001621
effective,1,0.001621
lol,1,0.001621
yall,1,0.001621
we,2,0.003241
get,1,0.001621
our,1,0.001621
housing,1,0.001621
info,1,0.001621
week,2,0.003241
erik,3,0.004862
hit,1,0.001621
ugly,2,0.003241
laugh,1,0.001621
combo,1,0.001621
really,1,0.001621
doing,1,0.001621
himself,1,0.001621
same,3,0.004862
first,1,0.001621
two,1,0.001621
laughed,1,0.001621
laurens,1,0.001621
love,2,0.003241
overwhelming,1,0.001621
alex,1,0.001621
feel,1,0.001621
obvious,1,0.001621
u,2,0.003241
want,2,0.003241
duh,1,0.001621
elaborate,1,0.001621
mean,1,0.001621
yeah,2,0.003241
who,1,0.001621
guys,1,0.001621
therefore,1,0.001621
must,1,0.001621
kms,1,0.001621
yale,1,0.001621
minds,1,0.001621
bag,2,0.003241
day,1,0.001621
thought,2,0.003241
she,2,0.003241
zebra,1,0.001621
body,2,0.003241
paint,1,0.001621
where,1,0.001621
song,1,0.001621
everyone,2,0.003241
pussy,1,0.001621
admit,1,0.001621
cocaine,1,0.001621
jt,2,0.003241
else,1,0.001621
could,2,0.003241
line,2,0.003241
possibly,1,0.001621
been,1,0.001621
about,3,0.004862
wrong,1,0.001621
makes,2,0.003241
sense,1,0.001621
better,2,0.003241
think,1,0.001621
stretch,1,0.001621
marks,1,0.001621
wait,2,0.003241
positivity,1,0.001621
iconic,1,0.001621
stripes,1,0.001621
my,6,0.009724
ass,2,0.003241
listen,2,0.003241
more,1,0.001621
youll,1,0.001621
come,2,0.003241
around,1,0.001621
understanding,1,0.001621
lyrical,2,0.003241
masterpiece,1,0.001621
akin,1,0.001621
beatles,1,0.001621
greater,1,0.001621
works,1,0.001621
even,1,0.001621
jest,1,0.001621
similar,1,0.001621
vibe,1,0.001621
lyrics,1,0.001621
never,1,0.001621
wildest,1,0.001621
dreams,1,0.001621
did,1,0.001621
imagine,1,0.001621
would,1,0.001621
viena,1,0.001621
cash,1,0.001621
by,2,0.003241
megan,1,0.001621
thee,1,0.001621
stallion,1,0.001621
requested,1,0.001621
kelly,1,0.001621
after,1,0.001621
played,1,0.001621
repeat,1,0.001621
aint,1,0.001621
real,1,0.001621
bitch,1,0.001621
review,1,0.001621
act,1,0.001621
up,1,0.001621
an,1,0.001621
entertaining,1,0.001621
hypeup,1,0.001621
bop,1,0.001621
strong,1,0.001621
beat,1,0.001621
quality,1,0.001621
goooood,1,0.001621
miss,1,0.001621
victor,1,0.001621
hope,1,0.001621
youre,1,0.001621
thriving,1,0.001621
alright,1,0.001621
time,1,0.001621
next,1,0.001621
good,1,0.001621
yard,1,0.001621
hello,1,0.001621
here,1,0.001621
enough,1,0.001621
fuckin,1,0.001621
unfortunate,1,0.001621
no,5,0.008104
aaaaahh,1,0.001621
dog,1,0.001621
peed,1,0.001621
freaking,1,0.001621
carpet,1,0.001621
confusion,1,0.001621
far,1,0.001621
cover,1,0.001621
eyes,1,0.001621
